ip,asn,role,first_seen,notes
167.172.150.241,AS14061,c2_dns_txt,2026-03,From dvrxpert.tiananmensquare1989.su; resolved 2026-03-11
165.227.66.229,AS14061,c2_dns_txt,2026-03,From dvrxpert.tiananmensquare1989.su; resolved 2026-03-11
178.128.174.202,AS14061,c2_dns_txt,2026-03,From dvrxpert.tiananmensquare1989.su; resolved 2026-03-11
46.101.94.33,AS14061,c2_dns_txt,2025-06,From dvrxpert.tiananmensquare1989.su; resolved 2026-03-11
206.189.72.196,AS14061,c2_dns_txt,2025-06,From dvrxpert.tiananmensquare1989.su; resolved 2026-03-11
206.189.72.192,AS14061,c2_dns_txt,2025-06,From dvrxpert.tiananmensquare1989.su; resolved 2026-03-11
143.110.174.5,AS14061,c2_dns_txt,2026-03,From dvrxpert.tiananmensquare1989.su; resolved 2026-03-11
159.65.56.1,AS14061,c2_dns_txt,2026-03,From dvrxpert.tiananmensquare1989.su; resolved 2026-03-11
159.65.72.184,AS14061,c2_dns_txt,2026-03,From dvrxpert.tiananmensquare1989.su; resolved 2026-03-11
161.35.37.48,AS14061,c2_dns_txt,2026-03,From dvrxpert.tiananmensquare1989.su; resolved 2026-03-11
206.189.105.179,AS14061,c2_dns_txt,2025-10,From stevenfromcoinbase.fk3.su; resolved 2026-03-11
178.128.32.234,AS14061,c2_dns_txt,2025-10,From stevenfromcoinbase.fk3.su; resolved 2026-03-11
137.184.111.42,AS14061,c2_dns_txt,2025-11,From dvrexpert.st; resolved 2026-03-11
161.35.171.177,AS14061,c2_dns_txt,2025-11,From dvrexpert.st; resolved 2026-03-11
45.55.77.196,AS14061,c2_dns_txt,2025-11,From dvrexpert.st; resolved 2026-03-11
46.101.85.248,AS14061,c2_dns_txt,2025-11,From public.dvrexpert.st; resolved 2026-03-11
206.189.177.137,AS14061,c2_dns_txt,2025-11,From public.dvrexpert.st; resolved 2026-03-11
68.183.45.80,AS14061,c2_dns_txt,2025-11,From public.dvrexpert.st; resolved 2026-03-11
165.227.20.219,AS14061,c2_dns_txt,2025-11,From ohbro.krebstresser.st; resolved 2026-03-11
137.184.76.92,AS14061,c2_dns_txt,2025-11,From ohbro.krebstresser.st; resolved 2026-03-11
157.245.90.173,AS14061,c2_dns_txt,2025-11,From ohbro.krebstresser.st; resolved 2026-03-11
158.94.210.88,AS202412,c2_fallback,2025-12,Hardcoded in crossover ARC700 build (3d0cf1d0)
5.35.45.162,AS216071,c2_fallback,2024-08,Hardcoded in gen1 binaries
5.35.44.21,AS216071,c2_fallback,2024-08,Hardcoded in gen1 binaries
166.1.160.38,AS41745,c2_fallback,2024-08,Hardcoded in gen1 binaries
194.147.35.35,AS41745,c2_fallback,2024-08,Hardcoded in gen1 binaries
185.196.41.180,AS50053,c2_fallback,2026-03,Port 32392; hardcoded in gen2 latest (7500925a)
