domain,c2_method,first_seen,status,notes
newsvxc.shopstoreboutique.com,http-getDomainList,2026-07,active,"getDomainList bootstrap seed :2052; Cloudflare front"
appdload.mpfcms.com,http-getDomainList,2026-07,active,"getDomainList bootstrap seed :2052; resolves 64.32.3[.]194"
mpfcms.mio-tvplus.com,http-getDomainList,2026-07,active,"getDomainList bootstrap seed :2052; resolves 64.32.3[.]194"
miotvtop.hdwcam.com,http-xc-portal,2026-07,active,"XC portal seed :8080; resolves 23.237.72[.]114"
testcf114.bookabcgames.com,http-xc-portal,2026-07,active,"XC portal seed :8080; Cloudflare front"
mtvp.hdwcam.com,http-xc-portal,2026-07,unknown,"XC portal seed :8080 defined in APK, no live accessor; TCP timeout 2026-07-09"
xc.mpfcms.com,http-xc-portal,2026-07,active,"live getDomainList XC result 2026-07-09 (not hardcoded in APK); resolves 23.237.72[.]114"
mcm5566.bookabcgames.com,http-xc-portal,2026-07,active,"live getDomainList XC result 2026-07-09 (not hardcoded in APK); Cloudflare front"
tigertvdli1.jopstop.com,http-getDomainList,2026-07,active,"live getDomainList result 2026-07-09 (not hardcoded in APK); cover domain jopstop.com"
edisajalsjfdfh.shop,http-getDomainList,2026-07,inactive,"historical rotated-out pool member; NXDOMAIN 2026-07-09"
a1.ishano456.sbs,badbox-a1-config,2026-07,active,"MoYu/BADBOX a1 client-config C2 -> 172.96.114[.]6 (2026-07-11); prior 128.14.207[.]34; Zenlayer AS21859; live"
t1.ishano456.sbs,badbox-t1-cpc,2026-07,active,"MoYu/BADBOX t1 cpc/proxy C2 -> 98.98.71[.]19 / 98.98.71[.]20 (2026-07-11); prior 128.14.207[.]14 / 128.14.202[.]210; Zenlayer AS21859; live"
a1.xmsae.sbs,badbox-a1-config,2026-07,active,"MoYu/BADBOX a1 config C2 -> 172.96.114[.]6 (2026-07-11); prior 128.14.207[.]34; Zenlayer AS21859; live"
t1.xmsae.sbs,badbox-t1-cpc,2026-07,active,"MoYu/BADBOX t1 cpc C2 -> 98.98.71[.]19 / 98.98.71[.]20 (2026-07-11); prior 128.14.207[.]14 / 128.14.202[.]210; Zenlayer AS21859; live"
a1.xshaon123.sbs,badbox-a1-config,2026-07,active,"MoYu/BADBOX a1 config C2 -> 172.96.114[.]6 (2026-07-11); prior 128.14.207[.]34; Zenlayer AS21859; live"
t1.xshaon123.sbs,badbox-t1-cpc,2026-07,active,"MoYu/BADBOX t1 cpc C2 (served the live module descriptor) -> 98.98.71[.]19 / 98.98.71[.]20 (2026-07-11); prior 128.14.207[.]14 / 128.14.202[.]210; Zenlayer AS21859; live"
task.mymoyu.shop,http-cpc-activate,2024-03,inactive,"host.dex (com.xgw.f) client-activation /cpc/api/client/active; passive DNS on Zenlayer 128.14.207[.]14 / 128.14.202[.]210 during 2024-2025 (same boxes as t1 C2), earlier China Telecom/Alibaba; ThreatFox botnet_cc tag 'spirit' ref XLab Vo1d (MoYu/Vo1d overlap)"
a1.ty54fgd435.my,http-dexloader,2025-06,dead,"host.dex first-stage loader domain (/task/getAppUpdate -> dex_api.txt -> sdk.jar); NXDOMAIN 2026-07-09"
a1.vrr8345.site,http-dexloader,2025-06,dead,"host.dex first-stage loader domain; NXDOMAIN 2026-07-09"
a1.ue886578433.online,http-dexloader,2025-06,dead,"host.dex first-stage loader domain; NXDOMAIN 2026-07-09"
a1.ty4523.space,http-dexloader,2025-06,dead,"host.dex first-stage loader domain; NXDOMAIN 2026-07-09"
terrtest.oss-cn-hangzhou.aliyuncs.com,http-dexdescriptor,2025-06,active,"host.dex OSS fallback /ABS_SDK_FILE/dex_api.txt; Alibaba OSS bucket (shared infra); ACL-locked to anon GET (403) 2026-07-09"
