ip,port,role,hosting,first_seen,status,notes
23.237.72.114,8080,xc-portal,FDCservers.net AS30058,2026-07,active,"miotvtop.hdwcam.com + xc.mpfcms.com; our DNS 2026-07-09"
64.32.3.194,2052,c2-middle,Sharktech AS46844,2026-07,active,"appdload.mpfcms.com + mpfcms.mio-tvplus.com; our DNS 2026-07-09"
192.240.108.114,8080,xc-portal,,2026-07,unknown,"mtvp.hdwcam.com; our DNS 2026-07-09; TCP timeout"
172.96.114.6,80,badbox-c2-a1,Zenlayer AS21859,2026-07,active,"MoYu/BADBOX a1 config node (current); resolves a1.{ishano456,xmsae,xshaon123}.sbs; rotated from 128.14.207[.]34; live 2026-07-11"
98.98.71.19,80,badbox-c2-t1,Zenlayer AS21859,2026-07,active,"MoYu/BADBOX t1 cpc/proxy node (current); resolves t1.*.sbs; serves module descriptor; rotated from 128.14.207[.]14 / 128.14.202[.]210; live 2026-07-11"
98.98.71.20,80,badbox-c2-t1,Zenlayer AS21859,2026-07,active,"MoYu/BADBOX t1 cpc/proxy node (current, paired with 98.98.71.19); live 2026-07-11"
128.14.207.34,80,badbox-c2-a1,Zenlayer AS21859,2026-07,active,"MoYu/BADBOX a1 node (prior; a1.* rotated to 172.96.114[.]6); still reachable 2026-07-11"
128.14.207.14,80,badbox-c2-t1,Zenlayer AS21859,2026-07,active,"MoYu/BADBOX t1 node (prior; t1.* rotated to 98.98.71[.]19 / 98.98.71[.]20); served live module descriptor at first capture; still reachable 2026-07-11"
128.14.202.210,80,badbox-c2-t1,Zenlayer AS21859,2026-07,active,"MoYu/BADBOX t1 node (prior, paired with 128.14.207.14); still reachable 2026-07-11"
128.14.181.46,,badbox-c2-pdns,Zenlayer AS21859,2026-07,active,"additional BADBOX/MoYu C2 surfaced via passive DNS on the shared Zenlayer infra; not in the analyzed bin's cpc descriptor; 2026-07-09"
128.14.210.58,,badbox-c2-pdns,Zenlayer AS21859,2026-07,active,"additional BADBOX/MoYu C2 surfaced via passive DNS on the shared Zenlayer infra; not in the analyzed bin's cpc descriptor; 2026-07-09"
144.217.243.201,80,badbox-loader,OVH CA AS16276,2026-07,active,"MoYu/BADBOX module loader; /vr34der34/{sh60,sh61,sh63,sh65,sh66}.io present, sh67+ 404; live 2026-07-11"
165.154.202.29,9999,badbox-proxy-relay,Scloud Pte Ltd / AS142002,2026-07,active,"MoYu/BADBOX residential-proxy relay (com.miyc.transfer); ports 9999 control / 5555 per-job / 7777 data; IP geolocates US (IPinfo); :9999 live 2026-07-11"
