sha256,type,filename,description
5e90ce13e96a3b3fcdde18036ce18c8e1e562ee1dae546c476dda70a11956178,apk,earnify.apk,Maskify v2 loader APK (io.earnify) from maskify.workers.dev
37bdcdb26c04c38ee4c123fd986dc0f8c0449fc8456fe25dd7f4fd9d0a1c8d7f,elf,libearnify_sdk.so,Maskify v2 SDK v0.1.7 (arm64-v8a) from IPFS
0dbff535a85bc70a9d55ae20f736acea0d646273a377d1994df7b7a0ce78948b,elf,libearnify_sdk.so,Maskify v2 SDK v0.1.7 (armeabi-v7a) from IPFS
c077e545385542619f079fa5a246c7d066cf5bd20c70218a3244b07de5ae4ccf,elf,libearnify_sdk.so,"Maskify/Earnify v3 SDK v1.0.7 (arm64-v8a); built 2026-06-24; proxy-only (no flood code); IPFS CID QmRvKTy11EhoGcwhcsTYZVrtigdvQuPhQctJAuhy6jpXkg; advertised via ENS russianaltushkawantsdickinside.eth/proof; C2 158.94.208.131:4433"
7a8b3a5239f17bbbd207103ed2b017eccae4cd41ae5b2f2d0092f3fcf8e5c381,elf,libearnify_sdk.so,"Maskify/Earnify v3 SDK v1.0.7 (armeabi-v7a); built 2026-06-24; proxy-only (no flood code); IPFS CID QmUa7oB9nTZDJPnscnwQWmc2ZBRrio7ntmid8ZPDuShLU8"
3728e40c72ec3432c7f6dddfea84c931ccbc57763e13dd4f8dea6a8e0f2e2748,elf,libearnify_sdk.so,"Maskify/Earnify v3 SDK v1.0.7 (x86_64); built 2026-06-24; first x86_64 SDK captured; proxy-only (no flood code); IPFS CID QmWZj57o1JWuJm6D9TLjhN6P1nephD3binRp61UPfx81Ux"
a4e560c61861c4c3d6d614217d93f38fadea8ee6b127ccd85618ff4312582600,elf,bot.x86_64,"earnify-client standalone Linux DDoS bot (x86_64, static-PIE, stripped); Rust earnify-core/relay1.0.0; QUIC (quinn, ALPN h3/relay1) + ENS bootstrap; nine native flood modules flood_udp/tcp/tls/ssh/cs2 + flood_amp{,_dns,_cldap,_memcached}; non-spoofed (no SOCK_RAW) so amp modules cannot reflect; self-branded 'Earnify bandwidth seller client' with --account-token/--contribute/--install/--persist; delivered by dropper 609ecf41 from 130.78.217.194; VT co-communicates with 37.49.230.40"
03d09c359e36430a3f264489337073a81e60ab69f6119d3045d49da15daa2dca,elf,bot.aarch64,"earnify-client standalone Linux DDoS bot (ARM aarch64, statically linked, stripped); same earnify-core/relay1.0.0 codebase; QUIC+ENS; nine native flood modules; full Ghidra decompile; VT co-communicates with 37.49.230.40"
609ecf41b2227fe7f4791dbcf98345228b4bc25ff4bb1cb0c54be6347126cacc,script,bot_dropper.sh,"Multi-arch earnify-client dropper (universal sh); SERVER 130.78.217.194; uname -m selects nc port (aarch64:9003 armv7/6:9001 armv5/4:9101 mips/mips64:9103 mipsel:9005 x86_64/i386:9105), HTTP fallback http://130.78.217.194:8888/bot.$ARCH; runs from /tmp|/var/tmp|/dev/shm then deletes"
f0cfa1c15f1f32ddb0a85aaf5c7f5b9994d935b226e375aa1390fa8855c29a4a,apk,connectivity_metrics.apk,"v3 cross-family proxyware APK (com.android.connectivity.metrics); same ENS C2 + ChaCha20-Poly1305 key as SDK; IPFS delivery of libearnify_sdk.so; device-admin force-lock; OEM autostart whitelist (Xiaomi/Samsung/Huawei/OPPO/Vivo/OnePlus/ASUS/Amazon Fire TV/NVIDIA Shield/Hisense/TCL); served from 162.249.125.147:8097 (Jackskid loader IP)"
eb3e217bc8e63882b7f2179be5fb826ac4653b7717ffcd2efc48de9c74047633,elf,guardian,"Earnify 'guardian' Android root watchdog (arm64-v8a); 2nd package in the ENS 'proof' announcement alongside libearnify_sdk.so; built 2026-06-24; IPFS CID QmTDR9p4mSWHznigNeuKXpaTLph7xa9e8WD597fUjaCwKb; announced SHA3-256 b5c27631ec45ef8c4b49163e77fed2cf13379c7bdfb78231bdcf322bbfc6b885; root re-installer/anti-removal for com.android.connectivity.metrics: masquerades as /system/bin/logd_helper + /system/etc/init.d/99guardian, remounts /system rw, pm install/am start + deviceidle/appops whitelist, setprop persist.adb.tcp.port + iptables DROP 5555/5037/6969"
76cd2ba29828a42d45b90dcb5aec8c81eb5d337d5ae6aa4c9b7ce4e2a91efe75,elf,guardian,"Earnify 'guardian' Android root watchdog (armeabi-v7a); ENS 'proof' 2nd package; built 2026-06-24; IPFS CID QmUiAnR1DchDdCF6Ltpy8cvSZXGpBs1FKxF1YNdfNB2W3G; announced SHA3-256 9457aea468a520a3091fd51421de93e290aeb6540381419a0c64038c7801f4f2; behavior per arm64 row eb3e217b"
c8910b76d52a73c310cc270814183350baae4128d2b7fad0bc95a963efb1c8ea,elf,guardian,"Earnify 'guardian' Android root watchdog (x86_64); ENS 'proof' 2nd package; built 2026-06-24; IPFS CID QmbqW5ze6wTfULGnyiSgsQn7tdBhYhMRnEehgJenfnKxum; announced SHA3-256 cb2195efa2d157bd6d27b0b78bc527280a20148ee61d3fed1f83fe53df601b6d; behavior per arm64 row eb3e217b"
