ip,port,role,hosting,first_seen,status,notes
45.138.16.96,9000,c2_director,1337 Services GmbH (AS210558) PL,2026-07-13,inactive,"peer4you relay director API (= i.peer4you.net); accepted relay POST {""status"":""ONLINE"",...} with HTTP 404 + Access-Control-Allow-Origin:* to browsers; :9000 now times out, director consolidated to 185.104.63.79"
45.138.16.96,8080,panel,1337 Services GmbH (AS210558) PL,2026-07-13,inactive,"'Peer Server - Login' admin panel (HTTP 303 -> /login then dark-theme login page); :8080 now times out, director consolidated to 185.104.63.79"
45.138.16.96,22,ssh,1337 Services GmbH (AS210558) PL,2026-07-13,active,"SSH open; host has historically exposed rotating RDP/WinRM/STUN"
45.154.98.115,9000,c2,1337 Services GmbH (AS210558) NL,2026-07-13,active,"Mirai C2 pool member resolved from www.c1s.su (rotates); same hoster/AS as 45.138.16.96"
172.233.124.230,9000,c2,Akamai Connected Cloud / Linode (AS63949) ES,2026-07-13,active,"C2 pool member resolved from www.c1s.su (rotates, transient)"
139.162.28.95,9000,c2,Akamai Connected Cloud / Linode (AS63949) SG,2026-07-13,active,"C2 pool member resolved from www.c1s.su (rotates, transient)"
38.54.17.254,80,report,LIGHT NODE LIMITED (AS154177) SG,2026-07-13,active,"HTTP report/loader endpoint resolved from boblazar.inhumanencounters.org (transient)"
172.232.114.131,,datacenter_pool,Akamai Connected Cloud / Linode (AS63949) IN,2026-07-13,active,"peer4you o.peer4you.net datacenter pool member; role uncertain (customer entry / egress / coordination)"
172.236.62.241,,datacenter_pool,Akamai Connected Cloud / Linode (AS63949) AU,2026-07-13,active,"peer4you o.peer4you.net datacenter pool member; role uncertain (customer entry / egress / coordination)"
104.64.43.113,,datacenter_pool,Akamai Connected Cloud / Linode (AS63949) BR,2026-07-13,active,"peer4you o.peer4you.net datacenter pool member; role uncertain (customer entry / egress / coordination)"
139.177.197.47,,datacenter_pool,Akamai Connected Cloud / Linode (AS63949) CA,2026-07-13,active,"peer4you o.peer4you.net datacenter pool member; role uncertain (customer entry / egress / coordination)"
172.232.40.160,,datacenter_pool,Akamai Connected Cloud / Linode (AS63949) FR,2026-07-13,active,"peer4you o.peer4you.net datacenter pool member; role uncertain (customer entry / egress / coordination)"
185.104.63.79,9000,c2_director,AS25198 INTERKVM HOST SRL / ZetServers (AT),2026-07-14,active,"peer4you backconnect/director node on ports 9000/8081; the mid-July consolidation target for the peer4you directors (i.peer4you.net now resolves here; superseded 45.138.16.96); ports filtered to external scanners (backconnect pattern); SAME node also hosts the trees4sale director (login.trees4sale.net:18702)"
162.35.179.210,,relay_director,AS26666 Interserver Inc (US),2026-07-23,active,"n1.persistfromchicago.com node-assignment endpoint for the lol2 Android relay (b22133dd), carried in jackskid APK 1a9a54eb"
93.114.194.75,,relay_director,AS25198 INTERKVM HOST SRL (RO),2026-07-23,active,"tractor.persistfromchicago.com relay-management endpoint for the lol2 Android relay (b22133dd); same ASN as cluster nodes 185.104.63.79/205.237.110.232/162.249.125.141"
