server_num,label,ip,port,provider,asn,cc
2,s2,65.21.226.195,6000,Hetzner,24940,DE
3,s3,95.217.225.182,6000,Hetzner,24940,DE
4,s4,157.90.0.84,6000,Hetzner,24940,DE
5,s5,157.90.4.41,6000,Hetzner,24940,DE
6,s6,157.90.4.34,6000,Hetzner,24940,DE
7,s7,157.90.4.97,6000,Hetzner,24940,DE
17,s17,135.181.57.109,6000,Hetzner,24940,DE
18,s18,57.129.73.193,6000,OVH,16276,FR
31,s31,135.181.20.243,6000,Hetzner,24940,DE
32,s32,135.181.18.95,6000,Hetzner,24940,DE
34,s34,135.181.61.24,6000,Hetzner,24940,DE
35,s35,135.181.61.18,6000,Hetzner,24940,DE
46,s46,135.181.57.111,6000,Hetzner,24940,DE
47,s47,135.181.57.110,6000,Hetzner,24940,DE
63,s63,95.217.144.108,6000,Hetzner,24940,DE
66,s66,135.181.57.106,6000,Hetzner,24940,DE
68,s68,65.21.34.165,6000,Hetzner,24940,DE
72,s72,65.109.26.152,6000,Hetzner,24940,DE
88,s88,139.162.136.210,6000,Akamai/Linode,63949,NL
89,s89,135.181.57.107,6000,Hetzner,24940,DE
90,s90,135.181.61.201,6000,Hetzner,24940,DE
91,s91,95.217.103.210,6000,Hetzner,24940,DE
93,s93,65.109.27.93,6000,Hetzner,24940,DE
94,s94,65.109.28.60,6000,Hetzner,24940,DE
205,s205,38.114.120.39,6000,GTHost,63023,US
206,s206,38.114.120.72,6000,GTHost,63023,US
209,s209,38.114.120.146,6000,GTHost,63023,US
212,s212,38.114.120.238,6000,GTHost,63023,US
216,s216,134.195.196.236,6000,GTHost,62563,CA
217,s217,158.51.121.126,6000,GTHost,62563,CA
227,s227,65.108.65.50,6000,Hetzner,24940,DE
228,s228,134.195.196.245,6000,GTHost,62563,CA
230,s230,65.21.225.59,6000,Hetzner,24940,DE
231,s231,135.181.116.42,6000,Hetzner,24940,DE
232,s232,37.27.55.79,6000,Hetzner,24940,DE
242,s242,134.195.198.52,6000,GTHost,62563,CA
243,s243,158.51.120.61,6000,GTHost,62563,CA
244,s244,158.51.120.53,6000,GTHost,62563,CA
245,s245,198.57.27.235,6000,GTHost,62563,CA
246,s246,134.195.196.85,6000,GTHost,62563,CA
247,s247,134.195.196.184,6000,GTHost,62563,CA
248,s248,134.195.196.108,6000,GTHost,62563,CA
251,s251,38.111.114.193,6000,GTHost,62563,US
252,s252,134.195.196.174,6000,GTHost,62563,CA
254,s254,172.99.188.236,6000,GTHost,63023,US
255,s255,158.51.121.130,6000,GTHost,62563,CA
256,s256,158.51.121.30,6000,GTHost,62563,CA
258,s258,134.195.198.246,6000,GTHost,62563,CA
259,s259,198.57.27.26,6000,GTHost,62563,CA
260,s260,198.57.27.32,6000,GTHost,62563,CA
261,s261,38.111.114.149,6000,GTHost,62563,US
262,s262,23.162.200.51,6000,GTHost,62563,US
263,s263,134.195.196.133,6000,GTHost,62563,CA
264,s264,198.57.27.210,6000,GTHost,62563,CA
265,s265,134.195.198.2,6000,GTHost,62563,CA
266,s266,158.51.121.151,6000,GTHost,62563,CA
267,s267,134.195.198.13,6000,GTHost,62563,CA
