sha256,arch,first_seen,description
f3b927cad2739bc0a0f2d5a6f8f72e552ab0685149b58b8ff3e25fd8fce0a3fe,,2026-03,"com.android.tv.support APK wrapper (v1, squarev1); extracts libsupport.so per ABI; served as b.apk"
d3c34baf4731aeffc5be0d1b6d2eb4ca4bddf35af1a1a79877bdc687189f857f,armeabi-v7a,2026-03,"libsupport.so native DDoS bot (v1, ARM32); WolfSSL TLS; XTEA config (key DEADBEEF CAFEBABE 8BADF00D 1337C0DE); 18 attack methods; SSH scanner"
82c2387197cee0a38d2db61d2d434702bc7803f6b09d7fc72f0f7ca5295e1a8d,arm64-v8a,2026-03,"libsupport.so native DDoS bot (v1, ARM64); same config as ARM32"
b485e7564750b86e7932fd3b07fd0267aa2d19e089507e837ffb591d767b174c,,2026-03,"meow.sh stager v1; downloads b.apk; lock dir .locknigger; nc fallback"
9d41737cb7aa161590fb9e32589f670da77e992a02778a6447cd0daf14100b8e,,2026-03,"com.android.tv.support APK wrapper (v2); same native binaries; served as c.apk"
fbae207bcd09e0e505ebbc319460693130843655853dba07f47eed277afdcc66,,2026-03,"meow.sh stager v2; downloads c.apk"
dced1a98b0e426eccbb516626d957f4eadfa17815c8a125b5d294fbf6e4565ba,,2026-04,"com.android.tv.support APK wrapper (v3, circlev1); TLS-upgraded ELF payloads; served raw via nc"
4efb2a4e12e218f447717231b9a9d8004b42cf6c2ceeee49a6d429f34d5e4670,armeabi-v7a,2026-04,"libsupport.so native bot (v3, ARM32); WolfSSL TLS 1.3 (upgraded from XTEA)"
3268fb5f29930a2daaedb31db15c5c614d17963f5b241a60c36f5d5d32b08d50,arm64-v8a,2026-04,"libsupport.so native bot (v3, ARM64); WolfSSL TLS 1.3"
281efa299e62db0eef96225b2e17e2e986ea967ff073b793040f3736bdfd2776,,2026-04,"Embedded RSA public key for C2 authentication; base64; key comment toxic@nigger"
df16101db6081c19469f5d5de0d51c6d9bd4143be1ca7c4884cdd5196fb1214c,armeabi-v7a,2026-04,"CHINKBOT_FILELESS Linux 'fox' variant (ARM32); XXTEA key VIBENET123456789; ChaCha20; wolfSSL TLS 1.3; fileless exec (memfd/shm); DoH C2; C2 tristan.sexy"
2c68b235f03c31b3c3bda9f65082c1a470aa0c144f484370185cb7a052e85a2b,arm64-v8a,2026-04,"CHINKBOT_FILELESS Linux 'fox' variant (ARM64); same config; C2 tristan.sexy"
928f208a4bbfb481005b55915dfdb74dc61268232a079c948936b5815da9b1de,armeabi-v7a,2026-04,"fox rebuild (ARM32); XTEA key; campaign tag 'big yahu save me!'; C2 femboy-e.date / femboys.dating"
0c1ca5cafd88b996617299733b0b4305bf901fe8ca097d0d309071e6fc2492c9,,2026-04,"com.google.android.system.service APK (v4 'Heilong' rebrand); libkys.so; campaign tag muhheilongsaar; ENS C2 meow.fuckmepls.eth"
22126b78d2e1d3939b32faa40b7bb29b8f849a7b489d31fe0d664de7fd8e558b,armeabi-v7a,2026-04,"libkys.so native bot (v4 Heilong, ARM32); WolfSSL TLS; XTEA; ENS C2 meow.fuckmepls.eth via public ETH RPC"
af67e1b8f8b568bd86b790e98c74a40cb4492d152ee0b57ea9fa01c3efb60545,arm64-v8a,2026-04,"libkys.so native bot (v4 Heilong, ARM64); same config as ARM32"
73021a747bab23a60469f89a42ac4ff2a3d3531cd9d2f3d8816f1d97b46f6551,,2026-05,"com.android.system.ui.support APK (v5, bigyahu); ENS C2 meow.fuckmepls.eth; 8+ persistence mechanisms; dropper 5.189.129.198"
79923ef39d8c35237ac2a784b5b24a21729182f8f34c8d77b252b2610a3197f5,arm32,2026-06,"standalone Linux 'meow' ELF (ARM32, static/stripped); v4 ENS lineage; wolfSSL TLS 1.3; ENS C2 meow.fuckmepls.eth; re-keyed (XTEA key absent) to evade the v1-v5 YARA rule"
f2671998df35ac2bb333747d3a6bcabeb10b285f4596d97ba66dfa2349f303d3,x86_64,2026-06,"standalone Linux Vibenet ELF (x86_64, static/stripped); encoded string tables key a35fc8912d764eb0671af38439c25b0e; meow magic, DoT pool, SSH banners, process-killer; ML-KEM-768 (Kyber) C2-auth KEM + X25519/ChaCha20-Poly1305 session crypto; Source Engine preamble 00ffff00fefefefefdfdfdfd12345678"
58f80286ef454e9f12a9ab3e6b04512e8ff67bf02c3d162e3c28dcf3c4a06989,x86_64,2026-06-23,"Vibenet standalone Linux build; ENS dead-drop C2 (alextyler.eth/description) read via ETH RPC over HTTPS, with RPC hostnames resolved via DoH; embedded TLS1.2/1.3 + QUIC v1 + HTTP1/2/3 L7 flood stack with no certificate validation; X25519 + server_auth Poly1305 C2 session; encrypted-string-table key a35fc8912d764eb0671af38439c25b0e (RC4 XOR Galois-LFSR poly 0x80200003); statically linked, stripped, clang/LLD"
