ip,port,role,hosting,first_seen,status,notes
45.67.138.24,"8081,8080",c2,RIPE/NL,2026-03,active,"v1-v3 'meow' C2 (resolves femboy-e.date / femboys.dating); also dropper delivery"
45.38.60.24,8081,c2,EGIHosting US,2026-03,active,"meow C2 in DNS rotation"
217.60.7.40,8081,c2,CloudBackbone HK,2026-03,active,"meow C2 in DNS rotation"
94.183.182.121,8081,c2,CloudBackbone US,2026-03,active,"meow C2 in DNS rotation"
185.92.180.229,8081,c2,,2026-04,active,"meow C2; handshake rejected after registration"
62.3.24.77,8081,c2,,2026-04,active,"meow C2; RST after registration"
176.65.139.109,"8081,9091",c2,pfcloud.io NL,2026-04,active,"meow C2 on 8081; APK delivery on 9091"
85.11.167.31,8081,c2,,2026-04,active,"v4 Heilong C2; resolved from ENS meow.fuckmepls.eth"
85.11.167.34,8081,c2,,2026-04,active,"v4 C2; current DNS resolution for femboy-e.date / femboys.dating"
95.182.114.121,8081,c2,,2026-06,active,"v4 ENS C2; resolved live from meow.fuckmepls.eth 2026-06-02"
45.205.1.36,8081,c2,,2026-06,active,"v4 ENS C2; resolved live from meow.fuckmepls.eth 2026-06-02"
163.227.178.38,8081,c2,,2026-06,active,"v4 ENS C2; resolved live from meow.fuckmepls.eth 2026-06-02"
143.20.185.88,8081,c2,,2026-06-23,active,"v4/v5 ENS C2; resolved live from meow.fuckmepls.eth (meow + description text records, base64) on 2026-06-23; port 8081 = family meow-protocol default"
45.225.135.27,"81,8080",delivery,,2026-03,active,"Dropper stager (nc on 81, APK on 8080); served v4 Heilong APK raw via nc"
217.60.61.176,9091,delivery,,2026-04,active,"fox stager (wget fox.arm7); C2 tristan.too.sexy"
31.59.138.20,"4444,6666",delivery,,2026-04,active,"Linux 'fox' staging; raw TCP push-on-connect; fox.arm7 on 4444, fox.arm64 on 6666; C2 tristan.sexy"
5.189.129.198,80,delivery,,2026-05,active,"v5 dropper; meow.sh stager and APK on 80 (magic 'meow'/'fuckniggers')"
,,c2,,2026-06-23,parked,"58f80286 build: ENS dead drop alextyler.eth/description decoded to 127.0.0.1 (parked) on 2026-06-23. C2 ports when live (shuffled; mostly Cloudflare-proxied web ports plus 9443): 443,80,8080,8443,9443,2053,2083,2087,2096,8880. Re-poll the ENS record with the 0x4ab73ce1 decode to recover live C2 IPs on rotation."
